Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
132,0.3437,0.3437,0.3437,0.7482,0.7482,0.7482,0.4175,0.4175,0.4175,0.6802,0.6802,0.6802
133,0.3196,0.3196,0.3196,0.6566,0.6566,0.6566,0.4169,0.4169,0.4169,0.6765,0.6765,0.6765
134,0.4814,0.4814,0.4814,0.6035,0.6035,0.6035,0.4689,0.4689,0.4689,0.6747,0.6747,0.6747
135,0.518,0.518,0.518,0.6563,0.6563,0.6563,0.33,0.33,0.33,0.6573,0.6573,0.6573
136,0.4412,0.4412,0.4412,0.6576,0.6576,0.6576,0.3372,0.3372,0.3372,0.682,0.682,0.682
137,0.5154,0.5154,0.5154,0.6737,0.6737,0.6737,0.4301,0.4301,0.4301,0.6705,0.6705,0.6705
138,0.3655,0.3655,0.3655,0.6071,0.6071,0.6071,0.3782,0.3782,0.3782,0.6728,0.6728,0.6728
139,0.2861,0.2861,0.2861,0.6538,0.6538,0.6538,0.4788,0.4788,0.4788,0.6713,0.6713,0.6713
140,0.3436,0.3436,0.3436,0.6903,0.6903,0.6903,0.3959,0.3959,0.3959,0.6643,0.6643,0.6643
141,0.4916,0.4916,0.4916,0.6108,0.6108,0.6108,0.4327,0.4327,0.4327,0.6564,0.6564,0.6564
142,0.3072,0.3072,0.3072,0.7137,0.7137,0.7137,0.447,0.447,0.447,0.6838,0.6838,0.6838
143,0.3279,0.3279,0.3279,0.7159,0.7159,0.7159,0.4535,0.4535,0.4535,0.6496,0.6496,0.6496
144,0.3328,0.3328,0.3328,0.6876,0.6876,0.6876,0.3723,0.3723,0.3723,0.6015,0.6015,0.6015
145,0.4452,0.4452,0.4452,0.6708,0.6708,0.6708,0.3847,0.3847,0.3847,0.6439,0.6439,0.6439
146,0.3025,0.3025,0.3025,0.7013,0.7013,0.7013,0.4401,0.4401,0.4401,0.6443,0.6443,0.6443
147,0.5998,0.5998,0.5998,0.7292,0.7292,0.7292,0.272,0.272,0.272,0.6364,0.6364,0.6364
148,0.5309,0.5309,0.5309,0.6844,0.6844,0.6844,0.2515,0.2515,0.2515,0.657,0.657,0.657
149,0.3214,0.3214,0.3214,0.7437,0.7437,0.7437,0.3955,0.3955,0.3955,0.6239,0.6239,0.6239
150,0.4584,0.4584,0.4584,0.522,0.522,0.522,0.4518,0.4518,0.4518,0.6741,0.6741,0.6741
151,0.4274,0.4274,0.4274,0.7231,0.7231,0.7231,0.409,0.409,0.409,0.677,0.677,0.677
152,0.4759,0.4759,0.4759,0.7629,0.7629,0.7629,0.4301,0.4301,0.4301,0.6734,0.6734,0.6734
153,0.5013,0.5013,0.5013,0.7152,0.7152,0.7152,0.4437,0.4437,0.4437,0.6739,0.6739,0.6739
