Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
108,0.6144,0.6144,0.6144,0.5018,0.5018,0.5018,0.6064,0.6064,0.6064,0.5386,0.5386,0.5386
109,0.6314,0.6314,0.6314,0.5545,0.5545,0.5545,0.6139,0.6139,0.6139,0.5466,0.5466,0.5466
110,0.6023,0.6023,0.6023,0.5775,0.5775,0.5775,0.5565,0.5565,0.5565,0.4805,0.4805,0.4805
111,0.7085,0.7085,0.7085,0.4392,0.4392,0.4392,0.6492,0.6492,0.6492,0.5338,0.5338,0.5338
112,0.6707,0.6707,0.6707,0.5663,0.5663,0.5663,0.5708,0.5708,0.5708,0.5479,0.5479,0.5479
113,0.6628,0.6628,0.6628,0.5875,0.5875,0.5875,0.5963,0.5963,0.5963,0.549,0.549,0.549
114,0.6547,0.6547,0.6547,0.5143,0.5143,0.5143,0.6256,0.6256,0.6256,0.3375,0.3375,0.3375
115,0.6804,0.6804,0.6804,0.6548,0.6548,0.6548,0.6324,0.6324,0.6324,0.4441,0.4441,0.4441
116,0.6018,0.6018,0.6018,0.5566,0.5566,0.5566,0.6161,0.6161,0.6161,0.5932,0.5932,0.5932
117,0.749,0.749,0.749,0.5541,0.5541,0.5541,0.5975,0.5975,0.5975,0.4458,0.4458,0.4458
118,0.6941,0.6941,0.6941,0.593,0.593,0.593,0.5808,0.5808,0.5808,0.6118,0.6118,0.6118
119,0.69,0.69,0.69,0.6162,0.6162,0.6162,0.6694,0.6694,0.6694,0.5429,0.5429,0.5429
120,0.6217,0.6217,0.6217,0.598,0.598,0.598,0.6024,0.6024,0.6024,0.6238,0.6238,0.6238
121,0.6501,0.6501,0.6501,0.5814,0.5814,0.5814,0.5731,0.5731,0.5731,0.607,0.607,0.607
122,0.637,0.637,0.637,0.6347,0.6347,0.6347,0.5555,0.5555,0.5555,0.478,0.478,0.478
123,0.7195,0.7195,0.7195,0.6038,0.6038,0.6038,0.6002,0.6002,0.6002,0.6167,0.6167,0.6167
124,0.6962,0.6962,0.6962,0.5293,0.5293,0.5293,0.6701,0.6701,0.6701,0.564,0.564,0.564
125,0.6919,0.6919,0.6919,0.5786,0.5786,0.5786,0.6315,0.6315,0.6315,0.5221,0.5221,0.5221
126,0.7024,0.7024,0.7024,0.5791,0.5791,0.5791,0.6223,0.6223,0.6223,0.5032,0.5032,0.5032
127,0.6673,0.6673,0.6673,0.559,0.559,0.559,0.5889,0.5889,0.5889,0.4401,0.4401,0.4401
128,0.718,0.718,0.718,0.5455,0.5455,0.5455,0.624,0.624,0.624,0.6116,0.6116,0.6116
129,0.6754,0.6754,0.6754,0.5253,0.5253,0.5253,0.5586,0.5586,0.5586,0.6133,0.6133,0.6133
130,0.6702,0.6702,0.6702,0.4948,0.4948,0.4948,0.6623,0.6623,0.6623,0.6238,0.6238,0.6238
131,0.7112,0.7112,0.7112,0.5302,0.5302,0.5302,0.6061,0.6061,0.6061,0.6353,0.6353,0.6353
132,0.708,0.708,0.708,0.5632,0.5632,0.5632,0.5762,0.5762,0.5762,0.4806,0.4806,0.4806
133,0.7234,0.7234,0.7234,0.5807,0.5807,0.5807,0.5996,0.5996,0.5996,0.4844,0.4844,0.4844
134,0.5833,0.5833,0.5833,0.6134,0.6134,0.6134,0.5943,0.5943,0.5943,0.5124,0.5124,0.5124
135,0.5968,0.5968,0.5968,0.6574,0.6574,0.6574,0.6295,0.6295,0.6295,0.6311,0.6311,0.6311
136,0.563,0.563,0.563,0.5366,0.5366,0.5366,0.6306,0.6306,0.6306,0.5531,0.5531,0.5531
137,0.7426,0.7426,0.7426,0.61,0.61,0.61,0.6597,0.6597,0.6597,0.5601,0.5601,0.5601
138,0.7047,0.7047,0.7047,0.5053,0.5053,0.5053,0.6193,0.6193,0.6193,0.5719,0.5719,0.5719
139,0.683,0.683,0.683,0.6643,0.6643,0.6643,0.6178,0.6178,0.6178,0.5205,0.5205,0.5205
140,0.683,0.683,0.683,0.4429,0.4429,0.4429,0.5899,0.5899,0.5899,0.5785,0.5785,0.5785
141,0.6121,0.6121,0.6121,0.5942,0.5942,0.5942,0.5505,0.5505,0.5505,0.5996,0.5996,0.5996
142,0.6949,0.6949,0.6949,0.5293,0.5293,0.5293,0.5457,0.5457,0.5457,0.5695,0.5695,0.5695
143,0.695,0.695,0.695,0.6579,0.6579,0.6579,0.6086,0.6086,0.6086,0.5032,0.5032,0.5032
144,0.6655,0.6655,0.6655,0.6198,0.6198,0.6198,0.6593,0.6593,0.6593,0.3979,0.3979,0.3979
145,0.5767,0.5767,0.5767,0.4165,0.4165,0.4165,0.593,0.593,0.593,0.6262,0.6262,0.6262
146,0.7362,0.7362,0.7362,0.5969,0.5969,0.5969,0.6381,0.6381,0.6381,0.5886,0.5886,0.5886
147,0.6977,0.6977,0.6977,0.5443,0.5443,0.5443,0.6517,0.6517,0.6517,0.5481,0.5481,0.5481
148,0.7553,0.7553,0.7553,0.5417,0.5417,0.5417,0.6188,0.6188,0.6188,0.5647,0.5647,0.5647
149,0.7561,0.7561,0.7561,0.5488,0.5488,0.5488,0.6249,0.6249,0.6249,0.6167,0.6167,0.6167
150,0.7435,0.7435,0.7435,0.473,0.473,0.473,0.6951,0.6951,0.6951,0.4717,0.4717,0.4717
151,0.6942,0.6942,0.6942,0.6463,0.6463,0.6463,0.6855,0.6855,0.6855,0.6136,0.6136,0.6136
152,0.6993,0.6993,0.6993,0.5023,0.5023,0.5023,0.6467,0.6467,0.6467,0.574,0.574,0.574
153,0.6797,0.6797,0.6797,0.6318,0.6318,0.6318,0.6495,0.6495,0.6495,0.4994,0.4994,0.4994
154,0.6642,0.6642,0.6642,0.6121,0.6121,0.6121,0.6245,0.6245,0.6245,0.5886,0.5886,0.5886
155,0.7041,0.7041,0.7041,0.5698,0.5698,0.5698,0.6269,0.6269,0.6269,0.5929,0.5929,0.5929
156,0.6612,0.6612,0.6612,0.5591,0.5591,0.5591,0.6659,0.6659,0.6659,0.6339,0.6339,0.6339
157,0.7239,0.7239,0.7239,0.5289,0.5289,0.5289,0.672,0.672,0.672,0.5001,0.5001,0.5001
158,0.7019,0.7019,0.7019,0.5386,0.5386,0.5386,0.6715,0.6715,0.6715,0.6075,0.6075,0.6075
159,0.7381,0.7381,0.7381,0.5765,0.5765,0.5765,0.7028,0.7028,0.7028,0.5802,0.5802,0.5802
160,0.6486,0.6486,0.6486,0.6271,0.6271,0.6271,0.7095,0.7095,0.7095,0.6315,0.6315,0.6315
161,0.7439,0.7439,0.7439,0.5433,0.5433,0.5433,0.6273,0.6273,0.6273,0.5732,0.5732,0.5732
162,0.7003,0.7003,0.7003,0.595,0.595,0.595,0.6832,0.6832,0.6832,0.5324,0.5324,0.5324
163,0.6746,0.6746,0.6746,0.5245,0.5245,0.5245,0.6474,0.6474,0.6474,0.5271,0.5271,0.5271
164,0.5644,0.5644,0.5644,0.5975,0.5975,0.5975,0.7271,0.7271,0.7271,0.508,0.508,0.508
165,0.7546,0.7546,0.7546,0.5686,0.5686,0.5686,0.7118,0.7118,0.7118,0.5052,0.5052,0.5052
