Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
98,0.4746,0.4746,0.4746,0.6613,0.6613,0.6613,0.6942,0.6942,0.6942,0.6127,0.6127,0.6127
99,0.5616,0.5616,0.5616,0.7616,0.7616,0.7616,0.6145,0.6145,0.6145,0.6734,0.6734,0.6734
100,0.593,0.593,0.593,0.7405,0.7405,0.7405,0.5824,0.5824,0.5824,0.5753,0.5753,0.5753
101,0.6065,0.6065,0.6065,0.6734,0.6734,0.6734,0.5541,0.5541,0.5541,0.6118,0.6118,0.6118
102,0.6566,0.6566,0.6566,0.7025,0.7025,0.7025,0.6722,0.6722,0.6722,0.577,0.577,0.577
103,0.6126,0.6126,0.6126,0.6634,0.6634,0.6634,0.7037,0.7037,0.7037,0.5681,0.5681,0.5681
104,0.5725,0.5725,0.5725,0.7167,0.7167,0.7167,0.6985,0.6985,0.6985,0.5754,0.5754,0.5754
105,0.6117,0.6117,0.6117,0.7229,0.7229,0.7229,0.6926,0.6926,0.6926,0.5877,0.5877,0.5877
106,0.4812,0.4812,0.4812,0.7177,0.7177,0.7177,0.6185,0.6185,0.6185,0.5745,0.5745,0.5745
107,0.5016,0.5016,0.5016,0.7076,0.7076,0.7076,0.659,0.659,0.659,0.6633,0.6633,0.6633
108,0.6483,0.6483,0.6483,0.7514,0.7514,0.7514,0.6628,0.6628,0.6628,0.5083,0.5083,0.5083
109,0.5307,0.5307,0.5307,0.7401,0.7401,0.7401,0.6739,0.6739,0.6739,0.4425,0.4425,0.4425
110,0.6207,0.6207,0.6207,0.7441,0.7441,0.7441,0.5999,0.5999,0.5999,0.6458,0.6458,0.6458
111,0.6027,0.6027,0.6027,0.7212,0.7212,0.7212,0.6689,0.6689,0.6689,0.4659,0.4659,0.4659
112,0.6033,0.6033,0.6033,0.6881,0.6881,0.6881,0.6054,0.6054,0.6054,0.5342,0.5342,0.5342
113,0.5708,0.5708,0.5708,0.7458,0.7458,0.7458,0.67,0.67,0.67,0.591,0.591,0.591
114,0.6075,0.6075,0.6075,0.744,0.744,0.744,0.6841,0.6841,0.6841,0.5074,0.5074,0.5074
115,0.5346,0.5346,0.5346,0.6195,0.6195,0.6195,0.5371,0.5371,0.5371,0.6209,0.6209,0.6209
116,0.5739,0.5739,0.5739,0.5916,0.5916,0.5916,0.6137,0.6137,0.6137,0.68,0.68,0.68
117,0.4976,0.4976,0.4976,0.7263,0.7263,0.7263,0.6385,0.6385,0.6385,0.5759,0.5759,0.5759
118,0.5888,0.5888,0.5888,0.7126,0.7126,0.7126,0.6569,0.6569,0.6569,0.6418,0.6418,0.6418
119,0.5443,0.5443,0.5443,0.6425,0.6425,0.6425,0.6698,0.6698,0.6698,0.581,0.581,0.581
120,0.5445,0.5445,0.5445,0.739,0.739,0.739,0.6481,0.6481,0.6481,0.656,0.656,0.656
121,0.5563,0.5563,0.5563,0.7074,0.7074,0.7074,0.6485,0.6485,0.6485,0.5629,0.5629,0.5629
122,0.5127,0.5127,0.5127,0.6731,0.6731,0.6731,0.6676,0.6676,0.6676,0.5709,0.5709,0.5709
123,0.4942,0.4942,0.4942,0.6552,0.6552,0.6552,0.6929,0.6929,0.6929,0.5838,0.5838,0.5838
124,0.5786,0.5786,0.5786,0.7668,0.7668,0.7668,0.6228,0.6228,0.6228,0.6121,0.6121,0.6121
125,0.5262,0.5262,0.5262,0.7699,0.7699,0.7699,0.6563,0.6563,0.6563,0.6448,0.6448,0.6448
126,0.6225,0.6225,0.6225,0.7689,0.7689,0.7689,0.6412,0.6412,0.6412,0.6498,0.6498,0.6498
127,0.4319,0.4319,0.4319,0.766,0.766,0.766,0.6592,0.6592,0.6592,0.5238,0.5238,0.5238
128,0.5782,0.5782,0.5782,0.7265,0.7265,0.7265,0.6751,0.6751,0.6751,0.6561,0.6561,0.6561
129,0.5147,0.5147,0.5147,0.7507,0.7507,0.7507,0.6926,0.6926,0.6926,0.5761,0.5761,0.5761
130,0.6415,0.6415,0.6415,0.7082,0.7082,0.7082,0.7012,0.7012,0.7012,0.6527,0.6527,0.6527
